Erläuterung,...2,...3
NA,NA,NA
"Datenstand: 28.12.2020, 08:00 Uhr",2021-01-04T00:00:00Z,12:00 Uhr
NA,NA,NA
Gemeldete Impfungen bundesweit und nach Bundesland sowie nach STIKO-Indikation (03.01.21),NA,NA
NA,NA,NA
Die kumulative Zahl der Impfungen umfasst die mit jeweiligem Datenstand gemeldeten Impfungen an das RKI.,NA,NA
Die Impfquote ist der Anteil aller bisher Geimpften in der Gesamtbevölkerung.,NA,NA
"Für die Berechnung der Impfquote wurde der Bevölkerungsstand vom 31.12.2019 zugrunde gelegt (Quelle: Statistisches Bundesamt, https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Tabellen/bevoelkerung-nichtdeutsch-laender.html).",NA,NA
NA,NA,NA
Achtung: Die Differenz zum Vortag kann Nachmeldungen aus vorangegangenen Tagen enthalten und spiegelt nicht immer die innerhalb des Vortags tatsächlich durchgeführte Zahl der Impfungen wider.,NA,NA
Anmerkung zu den Indikationen: Es können mehrere Indikationen je geimpfter Person vorliegen.,NA,NA
NA,NA,NA
NA,NA,NA
Gemeldete Impfungen bundesweit nach Tag der Impfung (Impfungen_proTag),NA,NA
Diese Zahl umfasst die mit jeweiligem Datenstand gemeldeten Impfungen an das RKI.,NA,NA
